Type,Local ID,Message,Field 0,Value 0,Units 0,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11
Data,0,length,message_index,75,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917629000,ms,total_elapsed_time,26.0,s,total_timer_time,26.0,s,total_strokes,12,strokes,avg_speed,0.962,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,76,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917655000,ms,total_elapsed_time,32.0,s,total_timer_time,32.0,s,total_strokes,13,strokes,avg_speed,0.781,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,77,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917687000,ms,total_elapsed_time,35.0,s,total_timer_time,35.0,s,total_strokes,13,strokes,avg_speed,0.714,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,78,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917722000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,11,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,79,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917751000,ms,total_elapsed_time,25.0,s,total_timer_time,25.0,s,total_strokes,11,strokes,avg_speed,1.0,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,80,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917776000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,11,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,81,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917806000,ms,total_elapsed_time,36.0,s,total_timer_time,36.0,s,total_strokes,14,strokes,avg_speed,0.694,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,82,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917842000,ms,total_elapsed_time,28.0,s,total_timer_time,28.0,s,total_strokes,11,strokes,avg_speed,0.893,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,83,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917870000,ms,total_elapsed_time,28.0,s,total_timer_time,28.0,s,total_strokes,11,strokes,avg_speed,0.893,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,84,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917898000,ms,total_elapsed_time,25.0,s,total_timer_time,25.0,s,total_strokes,11,strokes,avg_speed,1.0,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,85,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917923000,ms,total_elapsed_time,34.0,s,total_timer_time,34.0,s,total_strokes,13,strokes,avg_speed,0.735,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,86,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917957000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,11,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,87,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917986000,ms,total_elapsed_time,27.0,s,total_timer_time,27.0,s,total_strokes,11,strokes,avg_speed,0.926,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,88,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745918013000,ms,total_elapsed_time,27.0,s,total_timer_time,27.0,s,total_strokes,11,strokes,avg_speed,0.926,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,89,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745918040000,ms,total_elapsed_time,31.0,s,total_timer_time,31.0,s,total_strokes,13,strokes,avg_speed,0.806,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,90,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745918071000,ms,total_elapsed_time,31.0,s,total_timer_time,31.0,s,total_strokes,13,strokes,avg_speed,0.806,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,91,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745918102000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,12,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
